X Y Z
1.216796695302279433e+06 3.420385336783112725e+05 3.584605970388519381e+03
1.216796263728432124e+06 3.420405049269468291e+05 3.584522031133697055e+03
1.216796011186117306e+06 3.420425037256497308e+05 3.584554077826953289e+03
1.216795765346840024e+06 3.420445046827862388e+05 3.584470510468288012e+03
1.216795488803938031e+06 3.420464996909666806e+05 3.584387129057700804e+03
1.216795410631674575e+06 3.420485160629414604e+05 3.584303933595192575e+03
1.216795346906666877e+06 3.420505329119139351e+05 3.584220924080762870e+03
1.216795299732900457e+06 3.420525501464688568e+05 3.584138100514411690e+03
1.216795287609234452e+06 3.420545680193651933e+05 3.584171262896139069e+03
1.216795277858009562e+06 3.420565858947705128e+05 3.584088811225944937e+03
1.216795269493438536e+06 3.420586037718131556e+05 3.584006545503829329e+03
1.216795278873163508e+06 3.420606217254436342e+05 3.583924465729792246e+03
1.216795326441742713e+06 3.420626380773145938e+05 3.583842571903833687e+03
1.216795486141728004e+06 3.420646497260447941e+05 3.583760864025953651e+03
1.216795660439497558e+06 3.420666601376855397e+05 3.583679342096152595e+03
1.216795842755019665e+06 3.420686698698616237e+05 3.583598006114429609e+03
1.216796004921896849e+06 3.420706812396757887e+05 3.583516856080785146e+03
1.216796212722663302e+06 3.420726870281338925e+05 3.583435891995219208e+03
1.216796535397384781e+06 3.420746790469656116e+05 3.583355113857731794e+03
1.216796839582028333e+06 3.420766738284847816e+05 3.583274521668323359e+03
1.216797121214069892e+06 3.420786719796918915e+05 3.583194115426992994e+03
1.216797457210692111e+06 3.420806613534019561e+05 3.583113895133741153e+03
1.216797823651793413e+06 3.420826457893381012e+05 3.583033860788568290e+03
1.216798221011441201e+06 3.420846241815383546e+05 3.582954012391473498e+03
1.216798614581756759e+06 3.420866033228045562e+05 3.582874349942457229e+03
1.216798986227762420e+06 3.420885867980153998e+05 3.582794873441519940e+03
1.216799360375936143e+06 3.420905697591522476e+05 3.582715582888660720e+03
1.216799743292279309e+06 3.420925509188559372e+05 3.582636478283880479e+03
1.216800108343354426e+06 3.420945353954823222e+05 3.582557559627178307e+03
1.216800420150931692e+06 3.420965281557764392e+05 3.582478826918555114e+03
1.216800619598096702e+06 3.420985361900456483e+05 3.582400280158010446e+03
1.216800903264832217e+06 3.421005338253441150e+05 3.582321919345543847e+03
1.216801218786439160e+06 3.421025264373254031e+05 3.582359544481156263e+03
1.216801572097330121e+06 3.421045130901691737e+05 3.582281555564846713e+03
1.216801908152722754e+06 3.421065027828025050e+05 3.582203752596616141e+03
1.216802236599411117e+06 3.421084938158121076e+05 3.582126135576464094e+03
